"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"37"," Lithuania","15636","","14762","","11665","","9809","","8896","","9212","","9690","","10495","","11332","","11271","","11850","","12751","","13739","","15049","","16306","","17975","","19501","","21536","","22401","","20390","","20385","","21711","","22962","","24203","","25405","","26006",""
"20"," Luxembourg","49269","","53288","","53276","","53723","","52982","","54640","","54970","","59350","","59582","","62298","","64789","","67207","","67762","","65818","","71947","","74725","","63830","","73979","","71152","","59388","","67632","","63404","","61337","","58954","","61012","","62471",""
"158"," Madagascar","1598","","1421","","1421","","1413","","1356","","1336","","1335","","1360","","1377","","1408","","1420","","1466","","1238","","1321","","1346","","1372","","1401","","1457","","1520","","1412","","1376","","1350","","1331","","1324","","1332","","1320",""
"170"," Malawi","1473","","1582","","1373","","1511","","1401","","1354","","1080","","1553","","1530","","1515","","1503","","1380","","798","","822","","845","","851","","867","","927","","969","","1014","","1044","","1063","","1041","","1055","","1085","","1073",""
"59"," Malaysia","10050","","10646","","11256","","12116","","12903","","13836","","14824","","15405","","13866","","14141","","14910","","14814","","15414","","16161","","16973","","17676","","18614","","19599","","19981","","19567","","20438","","21348","","21871","","22648","","23644","","24620",""
"105"," Maldives","3284","","3320","","3442","","3501","","3736","","4216","","4496","","4884","","5245","","5546","","5714","","6088","","6328","","7059","","7848","","6972","","8109","","8572","","9295","","8832","","9180","","9714","","9750","","10000","","10436","","10383",""
"175"," Mali","889","","977","","921","","928","","927","","904","","942","","960","","1006","","1040","","1013","","1085","","1121","","1263","","1149","","1230","","1330","","1411","","1501","","1621","","1714","","1797","","1931","","2026","","2132","","2218",""
"33"," Malta","15759","","16579","","17187","","17787","","18627","","19675","","20295","","21217","","22170","","23103","","24538","","23441","","23921","","23795","","23517","","24224","","24673","","25639","","26466","","25532","","26499","","26757","","26845","","27368","","28048","","29500",""
"0"," Marshall Islands","3681","","3595","","3781","","3955","","4144","","4445","","3958","","3681","","3561","","3465","","3663","","3858","","3961","","3971","","3972","","4083","","4159","","4310","","4222","","4114","","4275","","4272","","4382","","4474","","4421","","4412",""
"157"," Mauritania","2954","","2924","","2896","","2980","","2806","","2993","","3075","","2865","","2857","","2986","","2884","","2852","","2783","","2860","","2933","","3088","","3371","","3402","","3400","","3354","","3306","","3301","","3385","","3507","","3566","","3527",""
"64"," Mauritius","7432","","7724","","8104","","8371","","8536","","8817","","9114","","9597","","10061","","10242","","10974","","11370","","11480","","11952","","12461","","12612","","13311","","14304","","14806","","15011","","15827","","16221","","16686","","17111","","17364","","17948",""
"77"," Mexico","12142","","12475","","12686","","12995","","13324","","12153","","12678","","13433","","13827","","14021","","14540","","14294","","14159","","14180","","14656","","14828","","15276","","15913","","15919","","14965","","15512","","15791","","16127","","15913","","16154","","16383",""
"127"," Micronesia (Federated States of)","2864","","3000","","3040","","3208","","3127","","3302","","3176","","2979","","3074","","3129","","3284","","3349","","3375","","3442","","3338","","3423","","3434","","3382","","3315","","3363","","3460","","3535","","3554","","3421","","3294","","3291",""
